sample_id,sample_name,date_collected,sample_type,depth_or_filter_size,soil_amount,num_reads,library_size,jgi_id,srp_id,sra_id,srr_id
sed_csp1_10ft_1,CSP-I_3_1,July 2011,Sediment,3 m,189.6 g,282,42.4,1008424,SRP080092,SRA445090,SRR3969907
sed_csp1_10ft_2,CSP-I_3_2,July 2011,Sediment,3 m,205.8 g,314,47.1,1008427,SRP080091,SRA445089,SRR3969602
sed_csp1_13ft_1,CSP-I_4_1,July 2011,Sediment,4 m,172.8 g,315,47.3,1008430,SRP080093,SRA445095,SRR3970034
sed_csp1_13ft_2,CSP-I_4_2,July 2011,Sediment,4 m,49 g,108,16.3,1008433,SRP080096,SRA445098,SRR3970040
sed_csp1_13ft_3,CSP-I_4_3,July 2011,Sediment,4 m,48.1 g,110,16.6,1008436,SRP080097,SRA445101,SRR3970282
sed_csp1_13ft_4,CSP-I_4_4,July 2011,Sediment,4 m,44.4 g,276,41.5,1008439,SRP080103,SRA445120,SRR3971189
sed_csp1_16ft_1,CSP-I_5_1,July 2011,Sediment,5 m,70.3 g,322,48.2,1008442,SRP080477,SRA446663,SRR3989306
sed_csp1_16ft_2,CSP-I_5_2,July 2011,Sediment,5 m,71.2 g,321,48.2,1008445,SRP080474,SRA446659,SRR3989297
sed_csp1_16ft_3,CSP-I_5_3,July 2011,Sediment,5 m,59.2 g,293,43.9,1008448,SRP080106,SRA445152,SRR3972141
sed_csp1_16ft_4,CSP-I_5_4,July 2011,Sediment,5 m,70.8 g,253,37.9,1008451,SRP074902,SRA425035,SRR3500544
sed_csp1_19ft_1,CSP-I_6_1,July 2011,Sediment,6 m,102.9 g,202,30.3,1008454,,,
sed_csp1_19ft_2,CSP-I_6_2,July 2011,Sediment,6 m,100.6 g,308,46.1,1008457,SRP080105,SRA445146,SRR3972132
sed_csp1_19ft_3,CSP-I_6_3,July 2011,Sediment,6 m,105.5 g,292,43.8,1008460,SRP080107,SRA445160,SRR3972149
sed_csp1_19ft_4,CSP-I_6_4,July 2011,Sediment,6 m,107.8 g,278,41.7,1008463,SRP080475,SRA446661,SRR3989304
sed_csp2_10ft_1,CSP-II_3_1,March 2013,Sediment,3 m,103.9 g,342,51.3,1023825,SRP080470,SRA446655,SRR3989293
sed_csp2_10ft_2,CSP-II_3_2,March 2013,Sediment,3 m,105.9 g,364,54.7,1023828,SRP080473,SRA446658,SRR3989296
sed_csp2_10ft_3,CSP-II_3_3,March 2013,Sediment,3 m,103.1 g,353,53,1023831,SRP080472,SRA446657,SRR3989295
sed_csp2_13ft_1,CSP-II_4_1,March 2013,Sediment,4 m,108.3 g,319,47.8,1023834,SRP080478,SRA446664,SRR3989307
sed_csp2_13ft_2,CSP-II_4_2,March 2013,Sediment,4 m,105.8 g,323,48.5,1023837,SRP080661,SRA447142,SRR3990171
sed_csp2_16ft_2,CSP-II_5_2,March 2013,Sediment,5 m,100.7 g,342,51.2,1023846,SRP080658,SRA447139,SRR3990168
sed_csp2_16ft_3,CSP-II_5_3,March 2013,Sediment,5 m,103.8 g,311,46.6,1023849,SRP080506,SRA446693,SRR3989430
sed_csp2_19ft_1,CSP-II_6_1,March 2013,Sediment,6 m,102.4 g,156,23.4,1023852,SRP080496,SRA446683,SRR3989337
sed_csp2_19ft_2,CSP-II_6_2,March 2013,Sediment,6 m,101.3 g,251,37.6,1023855,SRP080660,SRA447141,SRR3990170
sed_csp2_19ft_3,CSP-II_6_3,March 2013,Sediment,6 m,103.1 g,296,44.4,1023858,SRP080664,SRA447145,SRR3990173
gw_0.1um_1,CSP_GW_1_0.1,June 2013,GW,0.1 μM,Serial filtb,336,50.3,1023867,,,
gw_0.1um_1,CSP_ GW_1_0.2,June 2013,GW,0.2 μM,Serial filtb,318,47.7,1023864,,,
gw_0.1um_1,CSP_ GW_1_1.2,June 2013,GW,1.2 μM,36 000 l,367,55.1,1023861,,,
gw_0.1um_1,CSP_GW_2_0.1,July 2013,GW,0.1 μM,Serial filtb,394,59,1023876,,,
gw_0.1um_1,CSP_ GW_2_0.2,July 2013,GW,0.2 μM,Serial filtb,315,47.3,1023873,,,
gw_0.1um_1,CSP_ GW_2_1.2,July 2013,GW,1.2 μM,36 000 l,304,45.6,1023870,,,
bg_13ft_1,bg_4m,July 2007,Sediment,4 m,98.9 g,61,9.2,1016235,,,
bg_19ft_1,bg_5m,July 2007,Sediment,5 m,99.7 g,130,19.5,1016238,,,
bg_19ft_1,bg_6m,July 2007,Sediment,6 m,100.7 g,132,19.7,1016241,,,
