contig_id,project_id
Dalian_Groundwater_SRR22387926_scaffold_5929,Dalian_Groundwater_SRR22387926
Dalian_Groundwater_SRR22387926_scaffold_89407,Dalian_Groundwater_SRR22387926
Dalian_Groundwater_SRR22387933_scaffold_138467,Dalian_Groundwater_SRR22387933
Dalian_Groundwater_SRR22387933_scaffold_229131,Dalian_Groundwater_SRR22387933
Shanghai_Industrial_Park_soil_SRR23875558_scaffold_1066,Shanghai_Industrial_Park_soil_SRR23875558
SPRUCE_SRR12951267_158029,SPRUCE_SRR12951267
SPRUCE_SRR12951269_3674,SPRUCE_SRR12951269
SPRUCE_SRR12951270_147538,SPRUCE_SRR12951270
SPRUCE_SRR13021855_17347,SPRUCE_SRR13021855
SPRUCE_SRR13021855_31454,SPRUCE_SRR13021855
SPRUCE_SRR13021904_102772,SPRUCE_SRR13021904
SPRUCE_SRR13201612_14053,SPRUCE_SRR13201612
SPRUCE_SRR13201612_7403,SPRUCE_SRR13201612
SPRUCE_SRR13781586_7649,SPRUCE_SRR13781586
SPRUCE_SRR5824232_49614,SPRUCE_SRR5824232
SPRUCE_SRR7028199_4484,SPRUCE_SRR7028199
Petroleum-contam_soil_SRR29383098_scaffold_10782,Petroleum-contam_soil_SRR29383098
Petroleum-contam_soil_SRR29383098_scaffold_8133,Petroleum-contam_soil_SRR29383098
Petroleum-contam_soil_SRR29383098_scaffold_2108,Petroleum-contam_soil_SRR29383098
Petroleum-contam_soil_SRR29383098_scaffold_21309,Petroleum-contam_soil_SRR29383098
Petroleum-contam_soil_SRR29383098_scaffold_45918,Petroleum-contam_soil_SRR29383098
Petroleum-contam_soil_SRR29383098_scaffold_7625,Petroleum-contam_soil_SRR29383098
Petroleum-contam_soil_SRR29383098_scaffold_8328,Petroleum-contam_soil_SRR29383098
