# SignalP-6.0	Organism: Other	Timestamp: 20260916023412
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
orfm.bz_0.1_45	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
orfm.bz_0.1_73	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
orfm.bz_0.1_114	SP	0.000447	0.998727	0.000254	0.000183	0.000187	0.000173	CS pos: 27-28. Pr: 0.5964
orfm.bz_0.1_184	SP	0.045704	0.952172	0.000797	0.000439	0.000384	0.000459	CS pos: 29-30. Pr: 0.9157
orfm.bz_1.1_76	OTHER	1.000000	0.000009	0.000000	0.000000	0.000000	0.000000	
orfm.bz_1.1_79	OTHER	0.999773	0.000168	0.000046	0.000002	0.000001	0.000023	
orfm.bz_1.1_111	OTHER	0.987319	0.010766	0.000299	0.000021	0.000019	0.001605	
orfm.bz_1.1_135	OTHER	0.995651	0.000850	0.000034	0.000005	0.000003	0.003482	
orfm.bz_2.1_10	OTHER	0.999207	0.000773	0.000006	0.000002	0.000002	0.000002	
orfm.bz_2.1_92	OTHER	0.999621	0.000301	0.000058	0.000004	0.000001	0.000023	
orfm.bz_2.1_95	OTHER	0.997751	0.002234	0.000004	0.000001	0.000001	0.000003	
orfm.bz_2.1_133	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
orfm.bz_3.1_94	OTHER	0.999011	0.000809	0.000126	0.000010	0.000003	0.000051	
orfm.bz_3.1_97	OTHER	1.000000	0.000012	0.000000	0.000000	0.000000	0.000000	
orfm.bz_4.1_71	OTHER	0.999985	0.000000	0.000001	0.000000	0.000000	0.000014	
orfm.bz_4.1_110	OTHER	0.999989	0.000000	0.000000	0.000000	0.000000	0.000000	
orfm.bz_4.1_121	SP	0.070652	0.919422	0.007186	0.000838	0.000720	0.001149	CS pos: 26-27. Pr: 0.5530
orfm.bz_5.1_37	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
orfm.bz_5.1_74	OTHER	0.817851	0.175552	0.003244	0.000514	0.000320	0.002521	
orfm.bz_5.1_98	OTHER	0.999962	0.000081	0.000000	0.000000	0.000000	0.000000	
orfm.bz_5.1_103	SP	0.002206	0.996805	0.000322	0.000221	0.000213	0.000226	CS pos: 19-20. Pr: 0.9600
orfm.bz_5.1_143	OTHER	0.982405	0.016695	0.000223	0.000098	0.000055	0.000532	
orfm.bz_7.1_99	OTHER	1.000000	0.000011	0.000000	0.000000	0.000000	0.000000	
orfm.bz_7.1_105	OTHER	0.999776	0.000241	0.000010	0.000001	0.000000	0.000002	
orfm.bz_8.1_147	SP	0.150360	0.843107	0.002184	0.001167	0.001036	0.002135	CS pos: 21-22. Pr: 0.9020
orfm.bz_8.1_149	OTHER	1.000000	0.000019	0.000002	0.000000	0.000000	0.000000	
orfm.bz_8.1_176	OTHER	0.828007	0.137247	0.031114	0.000603	0.000371	0.002673	
orfm.bz_8.1_197	OTHER	0.983720	0.008035	0.000082	0.000040	0.000030	0.008116	
orfm.bz_8.1_223	OTHER	1.000000	0.000002	0.000000	0.000000	0.000000	0.000000	
orfm.bz_9.1_60	OTHER	0.999994	0.000022	0.000000	0.000000	0.000000	0.000001	
orfm.bz_9.1_105	OTHER	0.997328	0.002554	0.000064	0.000018	0.000007	0.000032	
orfm.bz_9.1_116	OTHER	1.000000	0.000003	0.000000	0.000000	0.000000	0.000000	
orfm.bz_9.1_200	OTHER	0.957993	0.030808	0.000941	0.000197	0.000108	0.009958	
orfm.bz_10.1_30	OTHER	0.970610	0.019357	0.000306	0.000164	0.000083	0.009503	
orfm.bz_10.1_33	OTHER	0.999839	0.000153	0.000000	0.000000	0.000000	0.000001	
orfm.bz_10.1_77	OTHER	0.800367	0.196916	0.001046	0.000271	0.000172	0.001241	
orfm.bz_11.1_116	SP	0.000604	0.998493	0.000253	0.000214	0.000199	0.000191	CS pos: 26-27. Pr: 0.9468
