path,name,msa_num_seqs,iptms,ptms,best_model,iptm_best_model,ptm_best_model,num_seeds,num_protein_chains,num_proteins
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_5,orfm.bz_0.1_5,2,"[None, None, None, None, None]","[0.54, 0.54, 0.52, 0.47, 0.5]",model_1_seed_000,,0.54,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_6,orfm.bz_0.1_6,2,"[None, None, None, None, None]","[0.32, 0.25, 0.27, 0.31, 0.27]",model_1_seed_000,,0.32,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_7,orfm.bz_0.1_7,164,"[None, None, None, None, None]","[0.46, 0.43, 0.44, 0.42, 0.47]",model_1_seed_000,,0.47,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_8,orfm.bz_0.1_8,2,"[None, None, None, None, None]","[0.33, 0.26, 0.3, 0.36, 0.28]",model_5_seed_000,,0.36,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_9,orfm.bz_0.1_9,2,"[None, None, None, None, None]","[0.48, 0.48, 0.49, 0.47, 0.5]",model_5_seed_000,,0.5,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_10,orfm.bz_0.1_10,2,"[None, None, None, None, None]","[0.35, 0.29, 0.34, 0.29, 0.37]",model_5_seed_000,,0.34,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_12,orfm.bz_0.1_12,2,"[None, None, None, None, None]","[0.13, 0.09, 0.09, 0.11, 0.1]",model_5_seed_000,,0.13,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_13,orfm.bz_0.1_13,2,"[None, None, None, None, None]","[0.3, 0.36, 0.37, 0.34, 0.32]",model_4_seed_000,,0.37,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_14,orfm.bz_0.1_14,2,"[None, None, None, None, None]","[0.18, 0.1, 0.19, 0.13, 0.14]",model_4_seed_000,,0.19,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_15,orfm.bz_0.1_15,2770,"[None, None, None, None, None]","[0.62, 0.62, 0.63, 0.63, 0.61]",model_5_seed_000,,0.63,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_16,orfm.bz_0.1_16,2,"[None, None, None, None, None]","[0.23, 0.25, 0.26, 0.28, 0.32]",model_1_seed_000,,0.32,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_17,orfm.bz_0.1_17,2,"[None, None, None, None, None]","[0.36, 0.37, 0.36, 0.35, 0.35]",model_5_seed_000,,0.37,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_18,orfm.bz_0.1_18,2,"[None, None, None, None, None]","[0.04, 0.04, 0.04, 0.04, 0.04]",model_5_seed_000,,0.04,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_20,orfm.bz_0.1_20,2,"[None, None, None, None, None]","[0.45, 0.39, 0.44, 0.41, 0.41]",model_5_seed_000,,0.44,1,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/colabfold/bz_0/orfm.bz_0.1_21,orfm.bz_0.1_21,8,"[None, None, None, None, None]","[0.19, 0.19, 0.17, 0.19, 0.17]",model_1_seed_000,,0.19,1,1,1
