path,name,msa_num_seqs,iptms,ptms,best_model,iptm_best_model,ptm_best_model,num_seeds,num_protein_chains,num_proteins
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_3.1_43,orfm.bz_3.1_43,56,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89]",seed-1_sample-4,,0.89,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_7.1_194,orfm.bz_7.1_194,59,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]",seed-2_sample-4,,0.88,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_0.1_169,orfm.bz_0.1_169,43,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.43, 0.44, 0.43, 0.44, 0.43, 0.43, 0.44, 0.44, 0.43, 0.44, 0.44, 0.44, 0.44, 0.42, 0.43]",seed-2_sample-3,,0.43,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_2.1_142,orfm.bz_2.1_142,24,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.8, 0.8, 0.79, 0.8, 0.8, 0.8, 0.79, 0.79, 0.79, 0.8, 0.79, 0.79, 0.8, 0.79, 0.8]",seed-2_sample-0,,0.8,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_0.1_175,orfm.bz_0.1_175,42,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.47, 0.48, 0.48, 0.46, 0.45, 0.47, 0.47, 0.46, 0.48, 0.47, 0.46, 0.46, 0.48, 0.46, 0.46]",seed-3_sample-0,,0.46,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_8.1_206,orfm.bz_8.1_206,46,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.45, 0.46, 0.46, 0.46, 0.45, 0.46, 0.46, 0.47, 0.46, 0.46, 0.45, 0.45, 0.46, 0.45, 0.47]",seed-2_sample-0,,0.46,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_5.1_140,orfm.bz_5.1_140,44,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.47, 0.48, 0.48, 0.47, 0.49, 0.49, 0.47, 0.48, 0.49, 0.48, 0.49, 0.48, 0.49, 0.48, 0.48]",seed-3_sample-0,,0.48,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_8.1_149,orfm.bz_8.1_149,28,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.45, 0.46, 0.45, 0.45, 0.44, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.46, 0.46]",seed-1_sample-3,,0.45,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_1.1_21,orfm.bz_1.1_21,22,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.74, 0.74, 0.76, 0.77, 0.71, 0.77, 0.77, 0.77, 0.78, 0.77, 0.74, 0.74, 0.7, 0.76, 0.77]",seed-1_sample-2,,0.78,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_2.1_13,orfm.bz_2.1_13,48,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.76, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",seed-3_sample-3,,0.76,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_5.1_105,orfm.bz_5.1_105,47,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.41, 0.41, 0.42, 0.41, 0.41, 0.42, 0.42, 0.43, 0.42, 0.43, 0.41, 0.43, 0.43, 0.44, 0.42]",seed-1_sample-2,,0.42,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_7.1_197,orfm.bz_7.1_197,49,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.82, 0.81, 0.82, 0.82, 0.82, 0.82, 0.81, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82]",seed-3_sample-2,,0.82,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_5.1_26,orfm.bz_5.1_26,22,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.59, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",seed-3_sample-4,,0.6,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_5.1_95,orfm.bz_5.1_95,300,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.94, 0.94, 0.94, 0.94, 0.95, 0.95, 0.94, 0.95, 0.94, 0.95, 0.95, 0.95, 0.95, 0.94, 0.95]",seed-1_sample-0,,0.95,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_7.1_170,orfm.bz_7.1_170,37,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.56, 0.55, 0.56, 0.56, 0.56, 0.55, 0.56, 0.56, 0.56, 0.54, 0.56, 0.56, 0.56, 0.56, 0.55]",seed-1_sample-2,,0.56,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_3.1_135,orfm.bz_3.1_135,300,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.93, 0.94, 0.93, 0.94, 0.94, 0.94, 0.93, 0.93, 0.94, 0.94, 0.93, 0.94, 0.93, 0.94, 0.93]",seed-3_sample-0,,0.94,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_8.1_222,orfm.bz_8.1_222,47,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.71, 0.71, 0.71, 0.72, 0.69, 0.71, 0.71, 0.72, 0.73, 0.72, 0.72, 0.72, 0.71, 0.73, 0.72]",seed-3_sample-4,,0.73,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_2.1_34,orfm.bz_2.1_34,49,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.49, 0.48, 0.48, 0.48, 0.47, 0.48, 0.48, 0.48, 0.47, 0.47, 0.48, 0.48, 0.48, 0.48, 0.47]",seed-2_sample-1,,0.48,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_3.1_142,orfm.bz_3.1_142,25,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59, 0.59]",seed-1_sample-0,,0.59,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_8.1_215,orfm.bz_8.1_215,59,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.88, 0.89, 0.89, 0.89, 0.88, 0.89, 0.88, 0.88, 0.89, 0.88, 0.88, 0.88, 0.88, 0.89, 0.88]",seed-2_sample-4,,0.89,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_10.1_18,orfm.bz_10.1_18,46,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.47, 0.47, 0.48, 0.48, 0.47, 0.49, 0.46, 0.5, 0.47, 0.49, 0.47, 0.48, 0.47, 0.49, 0.49]",seed-3_sample-3,,0.47,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_9.1_34,orfm.bz_9.1_34,60,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.88, 0.87, 0.87, 0.88, 0.88, 0.87, 0.88, 0.88, 0.88, 0.88, 0.87, 0.88, 0.87, 0.88, 0.88]",seed-1_sample-1,,0.88,3,1,1
