SW_scaffold_45580	SW_scaffold_45580
SCNpilot_BF_INOC_scaffold_10422	SCNpilot_BF_INOC_scaffold_10422
RTP_04242018_0_2um_scaffold_10713	RTP_04242018_0_2um_scaffold_10713
LacPavin_0818_WC45_scaffold_325284	LacPavin_0818_WC45_scaffold_325284
CG_2015-02_scaffold_24192	CG_2015-02_scaffold_24192
WaterYear_AB4_D1_15776599	WaterYear_AB4_D1_15776599
zodeltone_water_may_2017_k87_8312646	zodeltone_water_may_2017_k87_8312646
WaterYear_HC5_D1_69441	WaterYear_HC5_D1_69441
SW_scaffold_46887	SW_scaffold_46887
SR-VP_11_27_2022_S1_60cm_scaffold_26906	SR-VP_11_27_2022_S1_60cm_scaffold_26906
SR-VP_11_27_2022_S1_60cm_scaffold_26906	SR-VP_11_27_2022_S2_40cm_scaffold_25164
SR-VP_11_27_2022_S1_60cm_scaffold_26906	SR-VP_07_25_2022_A1_60cm_MG_illumina_12724
EelRiver_SF_N3_210922_idba_scaffold_17516	EelRiver_SF_N3_210922_idba_scaffold_17516
Montesol18_S2p5_coassembly_scaffold_217215	Montesol18_S2p5_coassembly_scaffold_217215
CG_2015-25_scaffold_15584	CG_2015-25_scaffold_15584
09V250M02_2018_Ig17191_scaffold_9765	09V250M02_2018_Ig17191_scaffold_9765
Petroleum-contam_soil_SRR29383098_scaffold_7625	Petroleum-contam_soil_SRR29383098_scaffold_7625
WaterYear_HB8_D1_840143	WaterYear_HB8_D1_840143
BC_09192017_0_5m_scaffold_11896	BC_09192017_0_5m_scaffold_11896
SR-VP_07_25_2022_A1_70cm_scaffold_29863	SR-VP_07_25_2022_A1_70cm_scaffold_29863
DGJ10_1_scaffold_3282	DGJ10_1_scaffold_3282
Landfill_SRR22315506_METASPADES_scaffold_84244	Landfill_SRR22315506_METASPADES_scaffold_84244
LacPavin_0920_SED5_scaffold_743124	LacPavin_0920_SED5_scaffold_743124
